,电影名称,信息,评分,评价人数,短评
12,海上钢琴师,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore 主演: 蒂姆·罗斯 Tim Roth / ... 1998 / 意大利 / 剧情 音乐,9.3,1657051人评价,每个人都要走一条自己坚定了的路，就算是粉身碎骨。
13,三傻大闹宝莱坞,导演: 拉库马·希拉尼 Rajkumar Hirani 主演: 阿米尔·汗 Aamir Khan / 卡... 2009 / 印度 / 剧情 喜剧 爱情 歌舞,9.2,1836608人评价,英俊版憨豆，高情商版谢耳朵。
14,放牛班的春天,导演: 克里斯托夫·巴拉蒂 Christophe Barratier 主演: 让-巴蒂斯特·莫尼... 2004 / 法国 瑞士 德国 / 剧情 音乐,9.3,1294049人评价,天籁一般的童声，是最接近上帝的存在。
15,机器人总动员,导演: 安德鲁·斯坦顿 Andrew Stanton 主演: 本·贝尔特 Ben Burtt / 艾丽... 2008 / 美国 / 科幻 动画 冒险,9.3,1299461人评价,小瓦力，大人生。
16,无间道,导演: 刘伟强 / 麦兆辉 主演: 刘德华 Andy Lau / 梁朝伟 Tony Leung Chiu W... 2002 / 中国香港 / 剧情 犯罪 惊悚,9.3,1342513人评价,香港电影史上永不过时的杰作。
17,疯狂动物城,导演: 拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore 主演: 金妮弗·... 2016 / 美国 / 喜剧 动画 冒险,9.2,1901272人评价,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。
18,控方证人,导演: 比利·怀尔德 Billy Wilder 主演: 泰隆·鲍华 Tyrone Power / 玛琳·... 1957 / 美国 / 剧情 犯罪 悬疑,9.6,542231人评价,比利·怀德满分作品。
19,大话西游之大圣娶亲,导演: 刘镇伟 Jeffrey Lau 主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng... 1995 / 中国香港 中国大陆 / 喜剧 爱情 奇幻 古装,9.2,1514020人评价,一生所爱。
20,熔炉,导演: 黄东赫 Dong-hyuk Hwang 主演: 孔侑 Yoo Gong / 郑有美 Yu-mi Jung /... 2011 / 韩国 / 剧情,9.4,920314人评价,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。
21,教父,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola 主演: 马龙·白兰度 M... 1972 / 美国 / 剧情 犯罪,9.3,952283人评价,千万不要记恨你的对手，这样会让你失去理智。
22,触不可及,导演: 奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano 主... 2011 / 法国 / 剧情 喜剧,9.3,1095590人评价,满满温情的高雅喜剧。
23,当幸福来敲门,导演: 加布里尔·穆奇诺 Gabriele Muccino 主演: 威尔·史密斯 Will Smith ... 2006 / 美国 / 剧情 传记 家庭,9.2,1500443人评价,平民励志片。
24,怦然心动,导演: 罗伯·莱纳 Rob Reiner 主演: 玛德琳·卡罗尔 Madeline Carroll / 卡... 2010 / 美国 / 剧情 喜剧 爱情,9.1,1808800人评价,真正的幸福是来自内心深处。
25,龙猫,导演: 宫崎骏 Hayao Miyazaki 主演: 日高法子 Noriko Hidaka / 坂本千夏 Ch... 1988 / 日本 / 动画 奇幻 冒险,9.2,1248652人评价,人人心中都有个龙猫，童年就永远不会消失。
26,末代皇帝,导演: 贝纳尔多·贝托鲁奇 Bernardo Bertolucci 主演: 尊龙 John Lone / 陈... 1987 / 英国 意大利 中国大陆 法国 / 剧情 传记 历史,9.3,867180人评价,“不要跟我比惨，我比你更惨”再适合这部电影不过了。
27,寻梦环游记,导演: 李·昂克里奇 Lee Unkrich / 阿德里安·莫利纳 Adrian Molina 主演: ... 2017 / 美国 / 喜剧 动画 奇幻 音乐,9.1,1649750人评价,死亡不是真的逝去，遗忘才是永恒的消亡。
28,活着,导演: 张艺谋 Yimou Zhang 主演: 葛优 You Ge / 巩俐 Li Gong / 姜武 Wu Jiang 1994 / 中国大陆 中国香港 / 剧情 历史 家庭,9.3,831085人评价,张艺谋最好的电影。
29,蝙蝠侠：黑暗骑士,导演: 克里斯托弗·诺兰 Christopher Nolan 主演: 克里斯蒂安·贝尔 Christ... 2008 / 美国 英国 / 剧情 动作 科幻 犯罪 惊悚,9.2,1041025人评价,无尽的黑暗。
30,哈利·波特与魔法石,导演: Chris Columbus 主演: Daniel Radcliffe / Emma Watson / Rupert Grint 2001 / 美国 英国 / 奇幻 冒险,9.2,1168530人评价,童话世界的开端。
31,指环王3：王者无敌,导演: 彼得·杰克逊 Peter Jackson 主演: 伊利亚·伍德 Elijah Wood / 西恩... 2003 / 美国 新西兰 / 剧情 动作 奇幻 冒险,9.3,791465人评价,史诗的终章。
32,乱世佳人,导演: 维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor 主演: 费... 1939 / 美国 / 剧情 历史 爱情 战争,9.3,681263人评价,Tomorrow is another day.
33,我不是药神,导演: 文牧野 Muye Wen 主演: 徐峥 Zheng Xu / 王传君 Chuanjun Wang / 周... 2018 / 中国大陆 / 剧情 喜剧,9,2072199人评价,对我们国家而言，这样的电影多一部是一部。
34,素媛,导演: 李濬益 Jun-ik Lee 主演: 薛景求 Kyung-gu Sol / 严志媛 Ji-won Uhm ... 2013 / 韩国 / 剧情,9.3,677055人评价,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。
35,飞屋环游记,导演: 彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson 主演: 爱德... 2009 / 美国 / 剧情 喜剧 动画 冒险,9.1,1305962人评价,最后那些最无聊的事情，才是最值得怀念的。
36,十二怒汉,导演: Sidney Lumet 主演: 亨利·方达 Henry Fonda / 马丁·鲍尔萨姆 Marti... 1957 / 美国 / 剧情,9.4,481845人评价,1957年的理想主义。
37,哈尔的移动城堡,导演: 宫崎骏 Hayao Miyazaki 主演: 倍赏千惠子 Chieko Baishô / 木村拓... 2004 / 日本 / 动画 奇幻 冒险,9.1,1007059人评价,带着心爱的人在天空飞翔。
38,何以为家,导演: 娜丁·拉巴基 Nadine Labaki 主演: 扎因·拉费阿 Zain al-Rafeea / ... 2018 / 黎巴嫩 美国 法国 塞浦路斯 卡塔尔 英国 / 剧情,9.1,1030239人评价,凝视卑弱生命，用电影改变命运。
39,摔跤吧！爸爸,导演: 涅提·蒂瓦里 Nitesh Tiwari 主演: 阿米尔·汗 Aamir Khan / 法缇玛... 2016 / 印度 / 剧情 传记 运动 家庭,9,1549802人评价,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。
40,鬼子来了,导演: 姜文 Wen Jiang 主演: 姜文 Wen Jiang / 香川照之 Teruyuki Kagawa /... 2000 / 中国大陆 / 剧情 喜剧,9.3,617826人评价,对敌人的仁慈，就是对自己残忍。
41,让子弹飞,导演: 姜文 Wen Jiang 主演: 姜文 Wen Jiang / 葛优 You Ge / 周润发 Yun-F... 2010 / 中国大陆 中国香港 / 剧情 喜剧 动作 西部,9,1675241人评价,你给我翻译翻译，神马叫做TMD的惊喜。
42,少年派的奇幻漂流,导演: 李安 Ang Lee 主演: 苏拉·沙玛 Suraj Sharma / 伊尔凡·可汗 Irrfan... 2012 / 美国 中国台湾 英国 加拿大 / 剧情 奇幻 冒险,9.1,1333473人评价,瑰丽壮观、无人能及的冒险之旅。
43,猫鼠游戏,导演: 史蒂文·斯皮尔伯格 Steven Spielberg 主演: 莱昂纳多·迪卡普里奥 L... 2002 / 美国 加拿大 / 传记 犯罪 剧情,9.1,1004890人评价,骗子大师和执著警探的你追我跑故事。
44,海蒂和爷爷,导演: 阿兰·葛斯彭纳 Alain Gsponer 主演: 阿努克·斯特芬 Anuk Steffen /... 2015 / 德国 瑞士 / 剧情 冒险 家庭,9.3,595898人评价,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。
45,钢琴家,导演: 罗曼·波兰斯基 Roman Polanski 主演: 艾德里安·布洛迪 Adrien Brod... 2002 / 英国 法国 波兰 德国 / 剧情 传记 战争 音乐,9.3,626480人评价,音乐能化解仇恨。
46,大话西游之月光宝盒,导演: 刘镇伟 Jeffrey Lau 主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng... 1995 / 中国香港 中国大陆 / 喜剧 爱情 奇幻 古装,9,1205576人评价,旷古烁今。
47,天空之城,导演: 宫崎骏 Hayao Miyazaki 主演: 田中真弓 Mayumi Tanaka / 横泽启子 Ke... 1986 / 日本 / 动画 奇幻 冒险,9.2,808692人评价,对天空的追逐，永不停止。
48,指环王2：双塔奇兵,导演: 彼得·杰克逊 Peter Jackson 主演: 伊利亚·伍德 Elijah Wood / 西恩... 2002 / 美国 新西兰 / 剧情 动作 奇幻 冒险,9.2,741527人评价,承前启后的史诗篇章。
49,闻香识女人,导演: 马丁·布莱斯 Martin Brest 主演: 阿尔·帕西诺 Al Pacino / 克里斯... 1992 / 美国 / 剧情,9.1,869915人评价,史上最美的探戈。
50,罗马假日,导演: 威廉·惠勒 William Wyler 主演: 奥黛丽·赫本 Audrey Hepburn / 格... 1953 / 美国 / 喜剧 剧情 爱情,9.1,938155人评价,爱情哪怕只有一天。
51,天堂电影院,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore 主演: 菲利普·努瓦雷 Philipp... 1988 / 意大利 法国 / 剧情 爱情,9.2,672072人评价,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。
52,死亡诗社,导演: 彼得·威尔 Peter Weir 主演: 罗宾·威廉姆斯 Robin Williams / 罗伯... 1989 / 美国 / 剧情,9.2,712262人评价,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。
53,绿皮书,导演: 彼得·法雷里 Peter Farrelly 主演: 维果·莫腾森 Viggo Mortensen /... 2018 / 美国 中国大陆 / 剧情 喜剧 传记 音乐,8.9,1622871人评价,去除成见，需要勇气。
54,大闹天宫,导演: 万籁鸣 Laiming Wan 主演: 邱岳峰 Yuefeng Qiu / 富润生 Runsheng Fu... 1961(中国大陆) / 1964(中国大陆) / 1978(中国大陆) / 中国大陆 / 剧情 动画 奇幻 古装,9.4,429727人评价,经典之作，历久弥新。
55,指环王1：护戒使者,导演: 彼得·杰克逊 Peter Jackson 主演: 伊利亚·伍德 Elijah Wood / 西恩... 2001 / 新西兰 美国 / 剧情 动作 奇幻 冒险,9.1,834344人评价,传说的开始。
56,黑客帝国,导演: 安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski 主... 1999 / 美国 / 动作 科幻,9.1,826526人评价,视觉革命。
57,教父2,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola 主演: 阿尔·帕西诺 A... 1974 / 美国 / 剧情 犯罪,9.3,543521人评价,优雅的孤独。
58,狮子王,导演: Roger Allers / 罗伯·明可夫 Rob Minkoff 主演: 乔纳森·泰勒·托马... 1994 / 美国 / 动画 冒险 歌舞,9.1,826041人评价,动物版《哈姆雷特》。
59,辩护人,导演: 杨宇硕 Woo-seok Yang 主演: 宋康昊 Kang-ho Song / 金英爱 Yeong-ae... 2013 / 韩国 / 剧情,9.2,582240人评价,电影的现实意义大过电影本身。
60,饮食男女,导演: 李安 Ang Lee 主演: 郎雄 Sihung Lung / 杨贵媚 Kuei-Mei Yang / 吴... 1994 / 中国台湾 美国 / 剧情 家庭,9.2,611775人评价,人生不能像做菜，把所有的料都准备好了才下锅。
61,搏击俱乐部,导演: 大卫·芬奇 David Fincher 主演: 爱德华·诺顿 Edward Norton / 布拉... 1999 / 美国 / 剧情 动作 悬疑 惊悚,9,834989人评价,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。
62,美丽心灵,导演: 朗·霍华德 Ron Howard 主演: 罗素·克劳 Russell Crowe / 艾德·哈... 2001 / 美国 / 传记 剧情,9.1,759234人评价,爱是一切逻辑和原由。
63,本杰明·巴顿奇事,导演: 大卫·芬奇 David Fincher 主演: 凯特·布兰切特 Cate Blanchett / ... 2008 / 美国 / 剧情 爱情 奇幻,9,969378人评价,在时间之河里感受溺水之苦。
64,穿条纹睡衣的男孩,导演: 马克·赫尔曼 Mark Herman 主演: 阿萨·巴特菲尔德 Asa Butterfield ... 2008 / 英国 美国 / 剧情 战争,9.2,554864人评价,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。
65,窃听风暴,导演: 弗洛里安·亨克尔·冯·多纳斯马尔克 Florian Henckel von Donnersmarck &n... 2006 / 德国 / 剧情 悬疑,9.2,557219人评价,别样人生。
66,情书,导演: 岩井俊二 Shunji Iwai 主演: 中山美穗 Miho Nakayama / 丰川悦司 Ets... 1995 / 日本 / 剧情 爱情,8.9,1095497人评价,暗恋的极致。
67,两杆大烟枪,导演: Guy Ritchie 主演: Jason Flemyng / Dexter Fletcher / Nick Moran 1998 / 英国 / 剧情 喜剧 犯罪,9.1,587986人评价,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。
68,西西里的美丽传说,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore 主演: 莫妮卡·贝鲁奇 Monica ... 2000 / 意大利 美国 / 剧情 战争 情色,8.9,962628人评价,美丽无罪。
69,音乐之声,导演: 罗伯特·怀斯 Robert Wise 主演: 朱莉·安德鲁斯 Julie Andrews / 克... 1965 / 美国 / 剧情 传记 爱情 歌舞,9.1,593075人评价,用音乐化解仇恨，让歌声串起美好。
70,看不见的客人,导演: 奥里奥尔·保罗 Oriol Paulo 主演: 马里奥·卡萨斯 Mario Casas / 阿... 2016 / 西班牙 / 剧情 犯罪 悬疑 惊悚,8.8,1238638人评价,你以为你以为的就是你以为的。
71,阿凡达,导演: 詹姆斯·卡梅隆 James Cameron 主演: 萨姆·沃辛顿 Sam Worthington ... 2009 / 美国 / 动作 科幻 冒险,8.8,1403096人评价,绝对意义上的美轮美奂。
72,拯救大兵瑞恩,导演: 史蒂文·斯皮尔伯格 Steven Spielberg 主演: 汤姆·汉克斯 Tom Hanks... 1998 / 美国 / 剧情 战争,9.1,638105人评价,美利坚精神输出大片No1.
73,小鞋子,导演: 马基德·马基迪 Majid Majidi 主演: 默罕默德·阿米尔·纳吉 Mohamma... 1997 / 伊朗 / 剧情 儿童 家庭,9.2,405468人评价,奔跑的孩子是天使。
74,飞越疯人院,导演: 米洛斯·福尔曼 Miloš Forman 主演: 杰克·尼科尔森 Jack Nichols... 1975 / 美国 / 剧情,9.1,539649人评价,自由万岁。
75,哈利·波特与死亡圣器(下),导演: 大卫·叶茨 David Yates 主演: 丹尼尔·雷德克里夫 Daniel Radcliffe... 2011 / 美国 英国 / 奇幻 冒险,9,817249人评价,10年的完美句点。
76,沉默的羔羊,导演: 乔纳森·戴米 Jonathan Demme 主演: 朱迪·福斯特 Jodie Foster / 安... 1991 / 美国 / 剧情 犯罪 惊悚,8.9,875139人评价,安东尼·霍普金斯的顶级表演。
77,布达佩斯大饭店,导演: 韦斯·安德森 Wes Anderson 主演: 拉尔夫·费因斯 Ralph Fiennes / ... 2014 / 美国 德国 英国 / 剧情 喜剧 冒险,8.9,915390人评价,小清新的故事里注入了大历史的情怀。
78,禁闭岛,导演: Martin Scorsese 主演: 莱昂纳多·迪卡普里奥 Leonardo DiCaprio / ... 2010 / 美国 / 剧情 悬疑 惊悚,8.9,959674人评价,昔日翩翩少年，今日大腹便便。
79,蝴蝶效应,导演: 埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber 主... 2004 / 美国 加拿大 / 剧情 悬疑 科幻 惊悚,8.9,923295人评价,人的命运被自己瞬间的抉择改变。
80,致命魔术,导演: 克里斯托弗·诺兰 Christopher Nolan 主演: 休·杰克曼 Hugh Jackman... 2006 / 英国 美国 / 剧情 悬疑 惊悚,8.9,844442人评价,孪生蝙蝠侠大战克隆金刚狼。
81,功夫,导演: 周星驰 Stephen Chow 主演: 周星驰 Stephen Chow / 元秋 Qiu Yuen / ... 2004 / 中国大陆 中国香港 / 动作 喜剧 犯罪 奇幻,8.8,1107921人评价,警恶惩奸，维护世界和平这个任务就交给你了，好吗？
82,海豚湾,导演: 路易·西霍尤斯 Louie Psihoyos 主演: Richard O'Barry / 路易·西霍... 2009 / 美国 / 纪录片,9.3,353943人评价,海豚的微笑，是世界上最高明的伪装。
83,心灵捕手,导演: 格斯·范·桑特 Gus Van Sant 主演: 马特·达蒙 Matt Damon / 罗宾·... 1997 / 美国 / 剧情,8.9,701549人评价,人生中应该拥有这样的一段豁然开朗。
84,低俗小说,导演: 昆汀·塔伦蒂诺 Quentin Tarantino 主演: 约翰·特拉沃尔塔 John Tra... 1994 / 美国 / 剧情 喜剧 犯罪,8.9,822286人评价,故事的高级讲法。
85,哈利·波特与阿兹卡班的囚徒,导演: Alfonso Cuarón 主演: 丹尼尔·雷德克里夫 Daniel Radcliffe / Emma... 2004 / 英国 美国 / 奇幻 冒险,8.9,713506人评价,不一样的导演，不一样的哈利·波特。
86,春光乍泄,导演: 王家卫 Kar Wai Wong 主演: 张国荣 Leslie Cheung / 梁朝伟 Tony Leu... 1997 / 中国香港 日本 韩国 / 剧情 爱情 同性,9,624061人评价,爱情纠缠，男女一致。
87,美国往事,导演: 赛尔乔·莱翁内 Sergio Leone 主演: 罗伯特·德尼罗 Robert De Niro ... 1984 / 美国 意大利 / 犯罪 剧情,9.2,406174人评价,往事如烟，无处祭奠。
88,摩登时代,导演: 查理·卓别林 Charles Chaplin 主演: 查理·卓别林 Charles Chaplin ... 1936 / 美国 / 剧情 喜剧 爱情,9.3,295987人评价,大时代中的人生，小人物的悲喜。
89,超脱,导演: 托尼·凯耶 Tony Kaye 主演: 艾德里安·布洛迪 Adrien Brody / 马西... 2011 / 美国 / 剧情,9,586239人评价,穷尽一生，我们要学会的，不过是彼此拥抱。
90,喜剧之王,导演: 周星驰 Stephen Chow / 李力持 Lik-Chi Lee 主演: 周星驰 Stephen Ch... 1999 / 中国香港 / 喜剧 剧情 爱情,8.8,955636人评价,我是一个演员。
91,致命ID,导演: 詹姆斯·曼高德 James Mangold 主演: 约翰·库萨克 John Cusack / 雷... 2003 / 美国 / 剧情 悬疑 惊悚,8.9,810429人评价,最不可能的那个人永远是最可能的。
92,杀人回忆,导演: 奉俊昊 Joon-ho Bong 主演: 宋康昊 Kang-ho Song / 金相庆 Sang-kyun... 2003 / 韩国 / 剧情 动作 犯罪 悬疑 惊悚,8.9,700797人评价,关于连环杀人悬案的集体回忆。
93,七宗罪,导演: 大卫·芬奇 David Fincher 主演: 摩根·弗里曼 Morgan Freeman / 布... 1995 / 美国 / 剧情 犯罪 悬疑 惊悚,8.8,931129人评价,警察抓小偷，老鼠玩死猫。
94,红辣椒,导演: 今敏 Satoshi Kon 主演: 林原惠美 Megumi Hayashibara / 江守彻 Toru... 2006 / 日本 / 动画 悬疑 科幻 惊悚,9.1,454630人评价,梦的勾结。
95,加勒比海盗,导演: 戈尔·维宾斯基 Gore Verbinski 主演: 约翰尼·德普 Johnny Depp / ... 2003 / 美国 / 动作 冒险 奇幻,8.8,845055人评价,约翰尼·德普的独角戏。
96,哈利·波特与密室,导演: Chris Columbus 主演: 丹尼尔·雷德克里夫 Daniel Radcliffe / 艾玛... 2002 / 英国 美国 / 奇幻 冒险,8.8,740903人评价,魔法的密室之门已打开...
97,狩猎,导演: 托马斯·温特伯格 Thomas Vinterberg 主演: 麦斯·米科尔森 Mads Mik... 2012 / 丹麦 瑞典 / 剧情,9.1,383279人评价,人言可畏。
98,一一,导演: 杨德昌 Edward Yang 主演: 吴念真 / 李凯莉 Kelly Lee / 金燕玲 Elai... 2000 / 中国台湾 日本 / 剧情 爱情 家庭,9.1,385159人评价,我们都曾经是一一。
99,7号房的礼物,导演: 李焕庆 Hwan-kyeong Lee 主演: 柳承龙 Seung-yong Ryoo / 朴信惠 Shi... 2013 / 韩国 / 剧情 喜剧 家庭,8.9,549811人评价,《我是山姆》的《美丽人生》。
100,被嫌弃的松子的一生,导演: 中岛哲也 Tetsuya Nakashima 主演: 中谷美纪 Miki Nakatani / 瑛太 E... 2006 / 日本 / 剧情 歌舞,8.9,695377人评价,以戏谑来戏谑戏谑。
101,唐伯虎点秋香,导演: 李力持 Lik-Chi Lee 主演: 周星驰 Stephen Chow / 巩俐 Li Gong / 陈... 1993 / 中国香港 / 喜剧 爱情 古装,8.7,1062659人评价,华太师是黄霑，吴镇宇四大才子之一。
102,请以你的名字呼唤我,导演: 卢卡·瓜达尼诺 Luca Guadagnino 主演: 艾米·汉莫 Armie Hammer / ... 2017 / 意大利 法国 巴西 美国 / 剧情 爱情 同性,8.9,710885人评价,沉醉在电影的情感和视听氛围中无法自拔。
103,断背山,导演: 李安 Ang Lee 主演: 希斯·莱杰 Heath Ledger / 杰克·吉伦哈尔 Jake... 2005 / 美国 加拿大 / 剧情 爱情 同性 家庭,8.8,699395人评价,每个人心中都有一座断背山。
104,剪刀手爱德华,导演: 蒂姆·波顿 Tim Burton 主演: 约翰尼·德普 Johnny Depp / 薇诺娜·... 1990 / 美国 / 剧情 奇幻 爱情,8.7,1023546人评价,浪漫忧郁的成人童话。
105,勇敢的心,导演: 梅尔·吉布森 Mel Gibson 主演: 梅尔·吉布森 Mel Gibson / 苏菲·玛... 1995 / 美国 / 动作 传记 剧情 历史 战争,8.9,553922人评价,史诗大片的典范。
106,入殓师,导演: 泷田洋二郎 Yôjirô Takita 主演: 本木雅弘 Masahiro Motoki / ... 2008 / 日本 / 剧情,8.9,655517人评价,死可能是一道门，逝去并不是终结，而是超越，走向下一程。
107,爱在黎明破晓前,导演: 理查德·林克莱特 Richard Linklater 主演: 伊桑·霍克 Ethan Hawke ... 1995 / 美国 奥地利 瑞士 / 剧情 爱情,8.8,670864人评价,缘分是个连绵词，最美不过一瞬。
108,第六感,导演: M·奈特·沙马兰 M. Night Shyamalan 主演: 布鲁斯·威利斯 Bruce Wi... 1999 / 美国 / 剧情 悬疑 惊悚,8.9,547979人评价,深入内心的恐怖，出人意料的结局。
109,重庆森林,导演: 王家卫 Kar Wai Wong 主演: 林青霞 Brigitte Lin / 金城武 Takeshi K... 1994 / 中国香港 / 剧情 爱情,8.8,798565人评价,寂寞没有期限。
110,蝙蝠侠：黑暗骑士崛起,导演: 克里斯托弗·诺兰 Christopher Nolan 主演: 克里斯蒂安·贝尔 Christ... 2012 / 美国 英国 / 剧情 动作 科幻 犯罪 惊悚,8.8,708435人评价,诺兰就是保证。
111,幽灵公主,导演: 宫崎骏 Hayao Miyazaki 主演: 松田洋治 Yôji Matsuda / 石田百合... 1997 / 日本 / 动画 奇幻 冒险,8.9,516102人评价,人与自然的战争史诗。
112,超能陆战队,导演: 唐·霍尔 Don Hall / 克里斯·威廉姆斯 Chris Williams 主演: 斯科特... 2014 / 美国 / 喜剧 动作 科幻 动画 冒险,8.7,996574人评价,Balalala~~~
113,菊次郎的夏天,导演: 北野武 Takeshi Kitano 主演: 北野武 Takeshi Kitano / 关口雄介 Yus... 1999 / 日本 / 剧情 喜剧,8.9,586950人评价,从没见过那么流氓的温柔，从没见过那么温柔的流氓。
114,爱在日落黄昏时,导演: 理查德·林克莱特 Richard Linklater 主演: 伊桑·霍克 Ethan Hawke ... 2004 / 美国 法国 / 剧情 爱情,8.9,550448人评价,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。
115,甜蜜蜜,导演: 陈可辛 Peter Chan 主演: 黎明 Leon Lai / 张曼玉 Maggie Cheung / ... 1996 / 中国香港 / 剧情 爱情,8.9,541730人评价,相逢只要一瞬间，等待却像是一辈子。
116,天使爱美丽,导演: 让-皮埃尔·热内 Jean-Pierre Jeunet 主演: 奥黛丽·塔图 Audrey Tau... 2001 / 法国 德国 / 剧情 喜剧 爱情,8.7,947756人评价,法式小清新。
117,阳光灿烂的日子,导演: 姜文 Wen Jiang 主演: 夏雨 Yu Xia / 宁静 Jing Ning / 陶虹 Hong Tao 1994 / 中国大陆 中国香港 / 剧情 爱情,8.9,606641人评价,一场华丽的意淫。
118,小森林 夏秋篇,导演: 森淳一 Junichi Mori 主演: 桥本爱 Ai Hashimoto / 三浦贵大 Takahir... 2014 / 日本 / 剧情,9,420117人评价,那些静得只能听见呼吸的日子里，你明白孤独即生活。
119,完美的世界,导演: 克林特·伊斯特伍德 Clint Eastwood 主演: 凯文·科斯特纳 Kevin Cos... 1993 / 美国 / 剧情 犯罪,9.1,310019人评价,坏人的好总是比好人的好来得更感人。
120,借东西的小人阿莉埃蒂,导演: 米林宏昌 Hiromasa Yonebayashi 主演: 志田未来 Mirai Shida / 神木... 2010 / 日本 / 动画 奇幻 冒险,8.9,544677人评价,曾经的那段美好会沉淀为一辈子的记忆。
121,无人知晓,导演: 是枝裕和 Hirokazu Koreeda 主演: 柳乐优弥 Yûya Yagira / 北浦爱... 2004 / 日本 / 剧情,9.1,313865人评价,我的平常生活就是他人的幸福。
122,消失的爱人,导演: 大卫·芬奇 David Fincher 主演: 本·阿弗莱克 Ben Affleck / 罗莎蒙... 2014 / 美国 / 剧情 犯罪 悬疑 惊悚,8.7,919876人评价,年度最佳date movie。
